Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Crispy Battered Cod,$7.49,3 servings per container,3.5 oz,200," Cod, Water, Yellow Corn Flour, Modified Corn Starch, Rice Flour, Salt, Onion Powder, Garlic Powder, Leavening (Sodium Bicarbonate, Sodium Acid Pyrophosphate), Xanthan Gum, Guar Gum, Canola Oil.",Fish
365 Yellowfin Tuna Value Pack,$21.99,8 servings per container,4 oz (113 g),120, Yellowfin Tuna.,Fish
Littleneck Clams,,25 servings per container,1 medium (14.5 g),12,Little Neck Clams,Unknown
Shell On Pink Shrimp 16-20 Count,$16.99,1 lb,3 oz (85 g),60,Shrimp,Shellfish
Lightly Breaded Calamari,$4.99,4 servings per container,6 rings (84 g),160," Squid, Water, Highly Refined Soybean Oil, Salt, Wheat Flour, Yeast, Sunflower Seed Oil, Cane Sugar†, Modified Cornstarch, Black Pepper, Distilled White Vinegar, Garlic Powder, Rosemary Extract, Dextrose†, Onion Powder, Cornstarch, Guar Gum, Pea Protein Isolate, Natural Flavor, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Methylcellulose.","Wheat, Soy"
Atlantic Salmon,$19.99,4 servings per container,2 oz (57 g),120," Salmon, Sea Salt, Brown Sugar**, Celery Powder, Natural Oakwood Smoke.",Fish
Family Size Gluten Free Fish Sticks,$6.99,4.5 servings per container,5 sticks (84 g),180," Fish Sticks [Whole Alaskan Polluck Fillets, Batter (Water, Yellow Corn Flour, Corn Starch, Sea Salt, Garlic Powder), Breader (Milled Corn, Cane Sugar)]., Breading Set in Expeller Pressed Canola Oil.",Fish
Butterflied Rainbow Trout,$16.99,1 lb,3 oz (85 g),120,Rainbow Trout,Fish
Breaded Fish Squares,$9.99,10 servings per container,1 square (91 g),200," Pollock, Highly Refined Soybean Oil, Wheat Flour, Water, Sunflower Seed Oil, Salt, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Modified Cornstarch, Dextrose†, Yeast, Cornstarch, Ascorbic Acid (Dough Conditioner), Guar Gum, Cane Sugar†, Pea Protein Isolate, Spice Extractives, Methylcellulose.","Fish, Wheat, Soy"
Caviar Pacific Sturgeon,$59.99,2 servings per container,1 tbsp (15 g),45," Sturgeon Roe, Salt.",Fish
Siberian Osetra Caviar,$69.99,2 servings per container,1 tbsp (15 g),45," Sturgeon Roe, Salt",Fish
Crispy Battered Halibut,$9.99,3 servings per container,3.5 oz,200," Halibut, Water, Wheat Flour, Modified Food Starch, Corn Flour, Salt, Cane Sugar, Leavening (Disodium Dihydrogen Pyrophosphate, Sodium Bicarbonate), Whey (Milk), Garlic Powder, Autolyzed Yeast Extract, Onion Powder, Maltodextrin, Guar Gum, Canola Oil.","Fish, Milk and Dairy, Wheat"
Monkfish Fillet,$9.99,1 lb,3 oz (85 g),65,Monkfish,Fish
Osetra Caviar,$79.99,2 servings per container,1 tbsp (15 g),45," Sturgeon Roe, Salt",Fish
Beer Battered Pollock,$11.99,6 servings per container,2 fillers (142 g),200," Pollock, Wheat Flour, Water, Corn Starch*, Highly Refined Soybean Oil, Salt, Garlic Powder, Onion Powder, Corn Maltodextrin, Yellow Corn Flour*, Tapioca Dextrin, Dextrose*, Leavening (Sodium Acid Pyrophosphate, Baking Soda [Sodium Bicarbonate]), Cane Sugar, Beer (Malted Barley, Rice, Water, Hops, Yeast), Expeller Pressed Sunflower Seed Oil, Beer (Malted Barley, Hops, Yeast), Ground White Pepper.","Fish, Wheat, Soy"
Beer Battered Cod Fillet,$7.49,3 servings per container,3.5 oz,200," Cod, Water, Rice Flour, Modified Corn Starch, Pea Flour, Natural Beer Flavor, Egg Whites, Salt, Sodium Acid Pyrophosphate, Sodium Bicatbonate, Sugar, Yeast Extract, Expeller Pressed Canola Oil, Dextrose, Silicon Dioxide Added To Prevent Caking, Beer (Water, Fermented Sorghum (Sorghum, Corn Syrup), Hops, Yeast).","Eggs, Fish"
Jumbo Lump Crab Cakes,$10.99,Unknown,Unknown,Unknown,"Crab Meat, Crab Cake Kit (Canola Mayonnaise [Expeller Pressed Non-GMO Canola Oil, Cage Free Non-GMO Eggs, Water, Honey, Distilled Vinegar, Contains Less Than 2% Of Salt, Spice, Lemon Juice Concentrate, Tocopherols (Vitamin E)], Bread Crumbs [Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Salt, Corn Flour, Ascorbic Acid, Whole Wheat Flour, Yeast], Dijon Mustard [Water, Mustard Seed, Vinegar, Salt, Citric Acid, Tartaric Acid, Spices], Lemon Juice, Seafood Seasoning [Salt, Spices, Paprika], Water, Shoyu [Water, Organic Soybeans, Salt, Organic Wheat, Organic Alcohol (To Prevent Freshness)], Molasses, Lemon Rappe [Lemon Peel, Sugar, Water, Natural Lemon Flavor, Citric Acid, Beta Carotene], Lime Juice, Apple Cider Vinegar, Tamarino Pulp, Cayenne Pepper, Crushed Red Pepper, Ground Cloves, Ground Ginger)","Eggs, Shellfish, Wheat, Soy"
Shrimp Spring Rolls Ginger Soy Sauce,$7.99,2 servings per container,5 oz (142 g),330," Shrimp Spring Rolls: Pastry Wrapper (Wheat Flour, Salt, Water, Palm Oil, Sugar*), Shrimp (Farm Raised), Sweet Potato, Carrot, Onion, Cabbage, Edamame*, Tapioca Starch, Soy Sauce (Water, Soy*, Wheat, Salt), Sesame Oil, Sugar*, Yeast Extract, Salt Soy Ginger Sauce. Water, Sugar*, Soy Sauce (Water, Soy*, Wheat, Salt), Distilled Vinegar*, Salted Lime, Modified Tapioca Starch, Ginger, Salt, Licorice, Anise, Fennel, Emulsifier, Caramel Color*, Natural Flavor (Licorice)","Shellfish, Wheat, Soy, Sesame Seed"
Lobster Cakes,$14.99,2 servings per container,1 cake (113 g),600," Lobster Meat, Lobster Mince Meat (Lobster, Water, Salt), Mayonnaise (Sunflower Oil, Certified Humane Free Range Egg Yolks, Water, Organic Lemon Juice, Distilled Vinegar, Salt, Mustard Flour, Black Pepper, Citric Acid), Panko Breadcrumbs (Wheat Flour, Sugar, Yeast, Salt), Scallions, Granulated Garlic, Black Pepper, Dried Parsley, Dried Chives.","Eggs, Shellfish, Wheat"
Golden Osetra Caviar,$99.99,2 servings per container,1 tbsp (15 g),45," Sturgeon Roe, Salt.",Fish
Gluten Free Panko Breaded Fish Sticks,$6.99,2.5 servings per container,3.5 oz (100 g),190," Pollock, Water, Rice Flour, Modified Food Starch, Degerminated Corn Flour, Corn Starch, Sugar, Dextrin, Salt, Dextrose, Onion Powder, Garlic Powder, Xanthan Gum, Yeast and/Or Yeast Extract, Leavening (Sodium Bicarbonate, Gluconolactone and/Or Sodium Acid Pyrophosphate), Ascorbic Acid (As Dough Conditioner), Guar Gum, Canola Oil","Fish, Wheat"
Salmon Burger,$4.99,2 servings per container,1 burger (113 g),160," Salmon, Green Bell Peppers, Onions, Heavy Cream, Dried Egg Whites, Salt, Roasted Garlic Puree (Garlic, Citric Acid), Modified Potato Starch, Sodium Acetate, Rosemary Extract, Sodium Lactate, Expeller Pressed Canola Oil.","Milk and Dairy, Eggs, Fish"
Prawn Dumplings With Soy Ginger Sauce,$7.99,1 servings per container,1 tray including sauce (198 g),320," Prawn Dumplings: Dumpling Skin (Water, Tapioca Starch, Rice Flour, Soybean Oil, Sugar, Salt), Shrimp (Farm Raised), Fish Paste (Pollock (Wild Caught), Tapioca Starch, Salt, Sugar), Squid (Wild Caught), Water Chestnuts, Bamboo Shoots, Carrots, Cilantro, Onion, Sesame Oil, Sugar Salt, White Pepper, Garlic, Corn Starch Soy Ginger Sauce: Water, Soy Sauce (Water, Wheat, Soybean, Salt), , Sugar, Salt, Lemon, Ginger, Honey, Ginger Powder, Acetic Acid, Tapioca Starch, Star Anise.","Fish, Shellfish, Wheat, Soy, Sesame Seed"
Albacore Tuna Steak,$15.99,1 lb,3 oz (85 g),93,Yellowfin Tuna,Fish
Surimi Seafood Stick Style,$4.49,4 servings per container,2 pieces (88 g),70,"Pollock, Water, Pea Starch, Cane Sugar, Sea Salt, Natural Flavor, Potassium Chloride, Tomato Lycopene (Color)",Fish
Sea Salt & Pepper Calamari Wild Caught Squid,$7.99,3 servings per container,3 oz (85 g),200," Sea Salt & Pepper Calamari: Squid (Wild Caught), Potato Starch, Egg White, Soybean Oil, Pepper, Baking Soda, Onion Powder, Garlic Powder, Sea Salt, Parsley, Cayenne","Eggs, Soy"
Boom Boom Shrimp,$7.99,2 servings per container,5 oz (142 g),280,"Boom Boom Shrimp: Shrimp (Farm Raised), Potato Starch, Egg White, Soybean Oil, Salt, Baking Powder Sriracha Aioli: Water, Soybean Oil, Distilled Vinegar, Sugar, Salt, Garlic Powder, Onion Powder, Mustard Flour, Modified Potato Starch, Chili, Modified Tapioca Starch, Xanthan Gum, Capsicum","Eggs, Shellfish, Soy"
Atlantic Salmon With Garlic Chive Butter,$6.66,2 servings per container,1 fillet (152 g),340," Atlantic Salmon (Color Added) *, Garlic Chive Butter (Garlic, Chive, Lemon Juice, Salt).","Fish, Milk and Dairy"
Squid Tubes & Tentacles,$8.99,1 lb,3 oz (85 g),78,Squid,Unknown
Shrimp Wonton With Szechuan Sauce,$7.99,1 servings per container,1 bowl (207 g),290," Shrimp Wontons: Shrimp (Farm Raised), Wonton Wrapper (Wheat Flour, Water, Modified Tapioca Starch, Salt), Jicama (Yambean), Natural Seasoning (Sesame Oil, Sugar, Salt, White Pepper), Potato Starch, Carrot, Onion Sauce: Natural Seasoning (Sugar, Soybean Oil, Sesame Oil, Vinegar, Onion, Soy Sauce (Wheat, Soybean, Water, Salt), Garlic, Chili","Shellfish, Wheat, Soy, Sesame Seed"
Atlantic Salmon With Lemon Pepper Butter,$6.66,2 servings per container,1 fillet (152 g),360," Atlantic Salmon (Color Added) *, Lemon Pepper Butter (Butter, Lemon Zest, Coriander, Lemon Juice, Salt, Pink Peppercorn, Black Pepper, Cardamom).","Fish, Milk and Dairy"
Surimi Seafood Flake Style,$4.49,4 servings per container,0.5 cup (85 g),70," Pollock, Water, Pea Starch, Cane Sugar, Sea Salt, Natural Flavor, Potassium Chloride, Tomato Lycopene (Color).",Fish
Wfm Hot Smoked Sockeye Salmon Peppered,$8.99,2 servings per container,2 oz (57 g),90," Sockeye Salmon, Salt, Black Pepper, Dehydrated Garlic",Fish
Lightly Breaded Clam Strips,$7.99,4 servings per container,27 strips (84 g),190," Clam Meat, Water, Highly Refined Soybean Oil, Wheat Flour, Yellow Corn Flour, Salt, Dextrose†, Rice Flour, Tapioca Starch, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Expeller Pressed Sunflower Seed Oil, Cane Sugar†, Yeast Extract, Yeast, Spices (Black Pepper, White Pepper), Paprika Extract.","Wheat, Soy"
Sea Scallops 10-20 Count,$27.99,1 lb,3 oz (85 g),59,Sea Scallops,Unknown
Smoked Whitefish Salad Chunky,$8.99,4 servings per container,2 oz (57 g),215," Smoked Great Lakes Whitefish (Whitefish, Salt, Brown Sugar, Spices & Hardwood Smoke), Mayo (Expeller-pressed Canola Oil, Cage-free Egg Yolks, Water, Honey, Distilled Vinegar, Cage-free Whole Egg, Contains Less Than 2% of Salt, Spice, Lemon Juice Concentrate), Breadcrumbs (Unbleached Wheat Flour, Cane Sugar, Yeast & Salt), Natural Flavors, Lemon Juice, Brown Sugar, Spices, Green Tea, and Rosemary","Eggs, Fish, Soy, Wheat"
Coho Salmon Fillet,$16.99,1 lb,4 oz (113 g),136,Salmon,Fish
Wild Alaskan Sablefish,$5.99,1 servings per container,1 portion (85 g),220," Smoke Sablefish, Salt, Brown Sugar",Fish
Shrimp & Scallop Cake,$5.99,Unknown,Unknown,Unknown,"Scallop, Shrimp., Mayonnaise (Soybean Oil, and/Or Canola Oil, Egg, Yolks, Vinegar, Dried Garlic, Natural Flavor Dried Onion), Bread Crumbs (Unbleached Wheat Flour, Sugar, Salt, Shallots, Eggs, Yermouth, Chives, Ginger, Lime Powder, Pepper. Prebrowned In Soy Bean Oil","Eggs, Shellfish, Wheat, Soy"
Wfm Hot Smoked Sockeye Salmon,$8.99,2 servings per container,2 oz (57 g),90," Sockeye Salmon, Salt.",Fish
Whole New Zealand Sea Bream,$12.99,1 lb,3 oz (85 g),85,Tai Snapper,Fish
Blini,$7.99,4 servings per container,0.25 package (25 g),60," Water, Wheat Flour, Canola Oil, Non Fat Dry Milk, Sweet Cream Powder, Lupine Flour, Dried Egg Yolk, Leavening (Sodium Bicarbonate, Monocalcium Phosphate, Sodium Acid Pyrophosphate), Dried Egg White, Sea Salt, Sunflower Lecithin, Gums (Xanthan, Cellulose, Guar, Arabic, Carrageenan)","Milk and Dairy, Eggs, Wheat"
Tuna Burger,$4.99,2 servings per container,1 burger (113 g),190," Tuna, Eggs, Cold Pressed Olive Oil, Red Bell Peppers, Red Onions, Dehydrated Carrots, Modified Potato Starch, Dried Egg Whites, Ginger Puree (Ginger, Citric Acid), Cane Sugar, Salt, Corn Maltodextrin, Green Onions, Soy Sauce (Soybean, Salt), Spices (Ginger, Red Pepper, White Pepper), Sesame Seed, Honey Solids, Natural Flavors, Garlic Powder, Dehydrated Parsley, Caramelized Sugar, Expeller Pressed Sunflower Seed Oil, Sodium Acetate, Rosemary Extract, Silicon Dioxide (To Prevent Caking), Sodium Lactate, Expeller Pressed Canola Oil.","Eggs, Fish, Soy, Sesame Seed"
Smoked Baja Salmon,$12.99,2 servings per container,1 package (56 g),105," Farm Raised Atlantic Salmon (Color Added in Feed)., Salt, Cane Sugar, Hardwood Smoke, Cilantro & Tequila",Fish
Highland: Whiskey & Cardamom Seeds,$12.99,2 servings per container,1 package (56 g),105," Farm Raised Atlantic Salmon (Color Added in Feed)., Salt, Cane Sugar, Hardwood Smoke, Cardamom & 12 Year Old S., M., Whisky All Natural Preservatives",Fish
Whole Porgy,$4.49,1 lb,3 oz (85 g),85,Porgy,Fish
Pacific Dover Sole Fillet,$10.99,1 lb,3 oz (85 g),60,Pacific Dover Sole,Fish
Wild King Salmon,$11.99,1 servings per container,3 oz (85 g),70," Wild Alaskan King Salmon, Salt, and Natural Hardwood Smoke",Fish
Salt Cod Cake,$3.99,Unknown,Unknown,Unknown,"Salt Cod, Potatoes, Onions, Eggs, Lemon Juice, Cream, Roasted Garlic, Butter, Unbleached Wheat Flour, Chives, Salt, Spices and Citric Acid","Eggs, Fish, Milk and Dairy, Wheat"
Cooked Lobster Meat,$44.99,1 lb,Unknown,Unknown,"Lobster, Water, Salt",Shellfish
WFM Cold Smoked Sockeye Salmon 16 oz.,$18.99,8 servings per container,2 oz (57 g),70," Smoked Sockeye Salmon, Salt.",Fish
Tuscan Herb Crispy Tenders,$6.99,3 servings per container,4 oz (113 g),140," Barramundi*, Cane Sugar, Corn Starch, Dehydrated Vegetables (Garlic and Onion, Tomato, Sun Dried Tomato, Red Bell Pepper, Chive), Natural Butter Flavor, Sea Salt, Sweet Cream Solids, Tapioca Maltodextrin, Spices, Citric Acid, Xanthan Gum, and Turmeric Extract.","Fish, Milk and Dairy"
Lobster Salad,$39.99,1 lb,4 oz,200," Lobster, Organic Mayonnaise (Expeller Pressed Canola Oil, Organic Whole Eggs, Water, Organic Egg Yolks, Organic Distilled Vinegar, Sea Salt, Organic Mustard [Organic Distilled Vinegar, Water, Organic Mustard Seed, Sea Salt, Organic Spices], Salt, Lemon Juice Concentrate, Natural Flavor), Celery, Green Onions, Dijon Mustard (Organic Apple Cider Vinegar, Water, Organic Mustard Seed, Sea Salt, Organic Spices), Lemon Juice, Tarragon.","Eggs, Shellfish"
Grilled Salmon with Roasted Garlic Fingerling,$26.99,Unknown,3 oz (85 g),111,Sockeye Salmon,Fish (Sockeye Salmon)
Atlantic Salmon Fillet,$15.99,1 lb,Unknown,Unknown,Atlantic Salmon Fillet,Fish
Frozen Farm-Raised Seafood Value Pack,$25.99,8 servings per container,4 oz (113 g),240," Atlantic Salmon, Astaxanthin (Color)",Fish
WFM SOCKEYE SALMON TRADITIONAL,$8.99,2 servings per container,2 oz (57 g),140," Smoked Sockeye Salmon, Salt.",Fish
Popcorn Shrimp 10 OZ,$7.99,3 servings per container,3 oz (91 g),240," Shrimp (Shrimp, Water, Salt), Bread Crumbs (Unbleached Wheat Flour, Malt Extract, Rice Bran Oil, Yeast, Wheat Gluten, Salt, Baking Soda [Sodium Bicarbonate]), Highly Refined Soybean Oil and/Or Sunflower Seed Oil, Corn Flour, Modified Cornstarch, Cornstarch, Water, Salt, Cane Sugar, Wheat Gluten, Silicon Dioxide (To Prevent Caking), Garlic Powder, Onion Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Methylcellulose.","Shellfish, Wheat, Soy"
Breaded Butterfly Shrimp 10 OZ,$7.99,3 servings per container,3 oz (93 g),230," Shrimp (Shrimp, Water, Salt), Bread Crumbs (Unbleached Wheat Flour, Malt Extract**, Rice Bran Oil, Yeast, Wheat Gluten, Salt, Baking Soda [Sodium Bicarbonate]), Highly Refine Soybean Oil and/Or Sunflower Seed Oil, Water, Modified Cornstarch, Cornstarch, Corn Flour, Cane Sugar**, Salt, Wheat Gluten, Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Onion Powder, Silicon Dioxide (To Prevent Caking), Methylcellulose, Paprika Extract (Color), Rosemary Extract.","Shellfish, Wheat, Soy"
365 Wild Caught Gulf Shrimp Hlso 10/15,$21.99,8 servings per container,4 oz (113 g),100, Shrimp.,Shellfish
Cooked Shrimp 41-55 Count 32 OZ,$17.99,11 servings per container,3 oz (85 g),80," Shrimp, Water, Salt.",Shellfish
Shrimp Scampi,$11.99,1 lb,Unknown,Unknown,Unknown,Unknown
Wfm Cold Smoked Sockeye Salmon 8 Oz.,$15.99,4 servings per container,2 oz (57 g),70," Smoked Sockeye Salmon, Salt.",Fish
WFM SMOKED SALMON EVERYTHING BAGEL,$8.99,2 servings per container,2 oz (57 g),80," Smoked Sockeye Salmon, Salt, Sesame Seed, Roasted Garlic, Toasted Onion, Black Sesame Seed, Poppy Seed.","Fish, Sesame Seed"
Smoked Wild Salmon,$19.99,4 servings per container,2 oz (57 g),80," Sockeye Salmon (Oncorhynchus Nerka), Salt, Cane Sugar, Black Pepper and Dill.",Fish
Original Crab Dip,$9.99,8 servings per container,2 tbsp (30 g),110," Pasteurized Crab Meat (Crab, Sodium Acid Pyrophosphate), Cream Cheese (Pasteurized Milk and Cream, Cheese Culture, Salt, Guar Gum, Carob Bean Gum, Xanthan Gum), Mayonnaise (Soybean Oil, Whole Egg, Egg Yolks, Water, Distilled Vinegar, Salt, Sugar, Lemon Juice Concentrate, Natural Flavors), Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto Color), Contains 2% Or Less Of: Garlic Powder, Black Pepper, Nisin, Cultured Dextrose, Salt.","Milk and Dairy, Eggs, Shellfish, Soy"
Beavertail Oyster,$1.99,Unknown,Unknown,Unknown, Fresh Farm Raised Beavertail Oyster,Unknown
Atlantic Salmon,$10.99,Unknown,Unknown,Unknown," Salmon, Sea Salt, Brown Sugar**, Celery Powder, Natural Oakwood Smoke",Fish
Marinated Anchovies In Oil Msc,$7.99,2 servings per container,100 g (100 g),150," Anchovy (Engraulis) Fillets, Sunflower Oil, Vinegar, Salt, Citric Acid (E330)",Fish
Whitefish Roe,$9.99,3 servings per container,1 tbsp (15 g),40," Lake Whitefish Roe, Salt.",Fish
Gulf White Shrimp 16-20 Count 32 OZ,$24.99,8 servings per container,4 oz (113 g),100, Shrimp.,Shellfish
Tequila Lime Cooked Shrimp,$11.99,1 lb,Unknown,Unknown,Unknown,Unknown
Atlantic Salmon Fillets,$8.99,2 servings per container,5.3 oz (151 g),690,Unknown,Unknown
Patagonian Sea Scallops 80/120,$8.99,3 servings per container,4 oz (113 g),90, Scallops,Unknown
Sockeye Salmon Fillets,$8.99,2 servings per container,5 oz (142 g),190, Sockeye Salmon,Fish
Keta Salmon Caviar,$12.99,3 servings per container,1 tbsp (15 g),40," Keta Salmon Rose, Salt.",Fish
King Salmon Fillet,$29.99,1 lb,Unknown,Unknown, Salmon.,Fish
White Sturgeon Caviar,$49.99,2 servings per container,1 tbsp (15 g),40," White Sturgeon Roe, Salt.",Fish
Ready to Cook Lightly Smoked Atlantic Salmon,$16.99,2 servings per container,1 fillet (142 g),430," Atlantic Salmon (Salmo Salar)(Color Added Through Feed), Salt.",Fish
365 by Whole Foods Market,$19.99,11 servings per container,4 shrimp (85 g),260," Shrimp, Coconut Flakes, Highly Refined Soybean Oil, Rice Flour, Potato Starch, Egg Whites, Salt, Non-hydrogenated Vegetable Oil Shortening (Palm Oil), Yeast, Cane Sugar, Dextrose, Cayenne, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Ascorbic Acid.","Eggs, Shellfish, Tree Nuts, Soy"
Smoked Salmon,$12.99,2 servings per container,2 oz (56 g),105,"farm raised atlantic salmon (color added in feed)., salt, cane sugar & hardwood smoke., all natural, no preservatives.",Fish
